sku,name,attribute_set_code,product_type,price,weight,status,visibility,description,short_description,categories,meta_title,meta_description,meta_keywords,url_key,manage_stock,use_config_manage_stock,qty,is_in_stock,stock_status,size,color,parent_sku,store_view_code
SPORT-JACKET-003-MEDIUM-GREY,Training Hoodie - Medium Grey,Default,simple,69.99,0.7,1,1,"Comfortable training hoodie with moisture-wicking fabric and adjustable hood. Size Medium in Grey.","Training hoodie - Medium Grey.","Default Category/Clothing/Outerwear","Training Hoodie - Medium Grey","Comfortable training hoodie - Medium Grey","hoodie;training;medium;grey",training-hoodie-medium-grey-003,1,1,20,1,1,Medium,Grey,SPORT-JACKET-003,en
SPORT-JACKET-003-LARGE-GREY,Training Hoodie - Large Grey,Default,simple,69.99,0.7,1,1,"Comfortable training hoodie with moisture-wicking fabric and adjustable hood. Size Large in Grey.","Training hoodie - Large Grey.","Default Category/Clothing/Outerwear","Training Hoodie - Large Grey","Comfortable training hoodie - Large Grey","hoodie;training;large;grey",training-hoodie-large-grey-003,1,1,18,1,1,Large,Grey,SPORT-JACKET-003,en
SPORT-PANTS-001-SMALL-BLACK,Athletic Joggers - Small Black,Default,simple,54.99,0.6,1,1,"Comfortable athletic joggers with elastic waistband and tapered fit. Size Small in Black.","Athletic joggers - Small Black.","Default Category/Clothing/Bottoms","Athletic Joggers - Small Black","Comfortable athletic joggers - Small Black","joggers;athletic;small;black",athletic-joggers-small-black-001,1,1,22,1,1,Small,Black,SPORT-PANTS-001,en
SPORT-PANTS-001-MEDIUM-BLACK,Athletic Joggers - Medium Black,Default,simple,54.99,0.6,1,1,"Comfortable athletic joggers with elastic waistband and tapered fit. Size Medium in Black.","Athletic joggers - Medium Black.","Default Category/Clothing/Bottoms","Athletic Joggers - Medium Black","Comfortable athletic joggers - Medium Black","joggers;athletic;medium;black",athletic-joggers-medium-black-001,1,1,25,1,1,Medium,Black,SPORT-PANTS-001,en
SPORT-PANTS-001-LARGE-BLACK,Athletic Joggers - Large Black,Default,simple,54.99,0.6,1,1,"Comfortable athletic joggers with elastic waistband and tapered fit. Size Large in Black.","Athletic joggers - Large Black.","Default Category/Clothing/Bottoms","Athletic Joggers - Large Black","Comfortable athletic joggers - Large Black","joggers;athletic;large;black",athletic-joggers-large-black-001,1,1,20,1,1,Large,Black,SPORT-PANTS-001,en
SPORT-PANTS-001-SMALL-NAVY,Athletic Joggers - Small Navy,Default,simple,54.99,0.6,1,1,"Comfortable athletic joggers with elastic waistband and tapered fit. Size Small in Navy.","Athletic joggers - Small Navy.","Default Category/Clothing/Bottoms","Athletic Joggers - Small Navy","Comfortable athletic joggers - Small Navy","joggers;athletic;small;navy",athletic-joggers-small-navy-001,1,1,22,1,1,Small,Navy,SPORT-PANTS-001,en
SPORT-PANTS-001-MEDIUM-NAVY,Athletic Joggers - Medium Navy,Default,simple,54.99,0.6,1,1,"Comfortable athletic joggers with elastic waistband and tapered fit. Size Medium in Navy.","Athletic joggers - Medium Navy.","Default Category/Clothing/Bottoms","Athletic Joggers - Medium Navy","Comfortable athletic joggers - Medium Navy","joggers;athletic;medium;navy",athletic-joggers-medium-navy-001,1,1,25,1,1,Medium,Navy,SPORT-PANTS-001,en
SPORT-PANTS-001-LARGE-NAVY,Athletic Joggers - Large Navy,Default,simple,54.99,0.6,1,1,"Comfortable athletic joggers with elastic waistband and tapered fit. Size Large in Navy.","Athletic joggers - Large Navy.","Default Category/Clothing/Bottoms","Athletic Joggers - Large Navy","Comfortable athletic joggers - Large Navy","joggers;athletic;large;navy",athletic-joggers-large-navy-001,1,1,20,1,1,Large,Navy,SPORT-PANTS-001,en
SPORT-SWEATSHIRT-001-SMALL-BLACK,Performance Sweatshirt - Small Black,Default,simple,49.99,0.5,1,1,"Performance sweatshirt with moisture-wicking technology and comfortable fit. Size Small in Black.","Performance sweatshirt - Small Black.","Default Category/Clothing/Tops","Performance Sweatshirt - Small Black","Performance sweatshirt - Small Black","sweatshirt;performance;small;black",performance-sweatshirt-small-black-001,1,1,18,1,1,Small,Black,SPORT-SWEATSHIRT-001,en
SPORT-SWEATSHIRT-001-MEDIUM-BLACK,Performance Sweatshirt - Medium Black,Default,simple,49.99,0.5,1,1,"Performance sweatshirt with moisture-wicking technology and comfortable fit. Size Medium in Black.","Performance sweatshirt - Medium Black.","Default Category/Clothing/Tops","Performance Sweatshirt - Medium Black","Performance sweatshirt - Medium Black","sweatshirt;performance;medium;black",performance-sweatshirt-medium-black-001,1,1,22,1,1,Medium,Black,SPORT-SWEATSHIRT-001,en
SPORT-SWEATSHIRT-001-LARGE-BLACK,Performance Sweatshirt - Large Black,Default,simple,49.99,0.5,1,1,"Performance sweatshirt with moisture-wicking technology and comfortable fit. Size Large in Black.","Performance sweatshirt - Large Black.","Default Category/Clothing/Tops","Performance Sweatshirt - Large Black","Performance sweatshirt - Large Black","sweatshirt;performance;large;black",performance-sweatshirt-large-black-001,1,1,20,1,1,Large,Black,SPORT-SWEATSHIRT-001,en
SPORT-SWEATSHIRT-001-SMALL-RED,Performance Sweatshirt - Small Red,Default,simple,49.99,0.5,1,1,"Performance sweatshirt with moisture-wicking technology and comfortable fit. Size Small in Red.","Performance sweatshirt - Small Red.","Default Category/Clothing/Tops","Performance Sweatshirt - Small Red","Performance sweatshirt - Small Red","sweatshirt;performance;small;red",performance-sweatshirt-small-red-001,1,1,18,1,1,Small,Red,SPORT-SWEATSHIRT-001,en
SPORT-SWEATSHIRT-001-MEDIUM-RED,Performance Sweatshirt - Medium Red,Default,simple,49.99,0.5,1,1,"Performance sweatshirt with moisture-wicking technology and comfortable fit. Size Medium in Red.","Performance sweatshirt - Medium Red.","Default Category/Clothing/Tops","Performance Sweatshirt - Medium Red","Performance sweatshirt - Medium Red","sweatshirt;performance;medium;red",performance-sweatshirt-medium-red-001,1,1,22,1,1,Medium,Red,SPORT-SWEATSHIRT-001,en
SPORT-SWEATSHIRT-001-LARGE-RED,Performance Sweatshirt - Large Red,Default,simple,49.99,0.5,1,1,"Performance sweatshirt with moisture-wicking technology and comfortable fit. Size Large in Red.","Performance sweatshirt - Large Red.","Default Category/Clothing/Tops","Performance Sweatshirt - Large Red","Performance sweatshirt - Large Red","sweatshirt;performance;large;red",performance-sweatshirt-large-red-001,1,1,20,1,1,Large,Red,SPORT-SWEATSHIRT-001,en
SPORT-LEGGINGS-003-SMALL-BLACK,Yoga Leggings - Small Black,Default,simple,44.99,0.3,1,1,"High-quality yoga leggings with four-way stretch and comfortable waistband. Size Small in Black.","Yoga leggings - Small Black.","Default Category/Clothing/Bottoms","Yoga Leggings - Small Black","High-quality yoga leggings - Small Black","leggings;yoga;small;black",yoga-leggings-small-black-003,1,1,28,1,1,Small,Black,SPORT-LEGGINGS-003,en
SPORT-LEGGINGS-003-MEDIUM-BLACK,Yoga Leggings - Medium Black,Default,simple,44.99,0.3,1,1,"High-quality yoga leggings with four-way stretch and comfortable waistband. Size Medium in Black.","Yoga leggings - Medium Black.","Default Category/Clothing/Bottoms","Yoga Leggings - Medium Black","High-quality yoga leggings - Medium Black","leggings;yoga;medium;black",yoga-leggings-medium-black-003,1,1,32,1,1,Medium,Black,SPORT-LEGGINGS-003,en
SPORT-LEGGINGS-003-LARGE-BLACK,Yoga Leggings - Large Black,Default,simple,44.99,0.3,1,1,"High-quality yoga leggings with four-way stretch and comfortable waistband. Size Large in Black.","Yoga leggings - Large Black.","Default Category/Clothing/Bottoms","Yoga Leggings - Large Black","High-quality yoga leggings - Large Black","leggings;yoga;large;black",yoga-leggings-large-black-003,1,1,30,1,1,Large,Black,SPORT-LEGGINGS-003,en
SPORT-LEGGINGS-003-SMALL-PURPLE,Yoga Leggings - Small Purple,Default,simple,44.99,0.3,1,1,"High-quality yoga leggings with four-way stretch and comfortable waistband. Size Small in Purple.","Yoga leggings - Small Purple.","Default Category/Clothing/Bottoms","Yoga Leggings - Small Purple","High-quality yoga leggings - Small Purple","leggings;yoga;small;purple",yoga-leggings-small-purple-003,1,1,28,1,1,Small,Purple,SPORT-LEGGINGS-003,en
SPORT-LEGGINGS-003-MEDIUM-PURPLE,Yoga Leggings - Medium Purple,Default,simple,44.99,0.3,1,1,"High-quality yoga leggings with four-way stretch and comfortable waistband. Size Medium in Purple.","Yoga leggings - Medium Purple.","Default Category/Clothing/Bottoms","Yoga Leggings - Medium Purple","High-quality yoga leggings - Medium Purple","leggings;yoga;medium;purple",yoga-leggings-medium-purple-003,1,1,32,1,1,Medium,Purple,SPORT-LEGGINGS-003,en
SPORT-LEGGINGS-003-LARGE-PURPLE,Yoga Leggings - Large Purple,Default,simple,44.99,0.3,1,1,"High-quality yoga leggings with four-way stretch and comfortable waistband. Size Large in Purple.","Yoga leggings - Large Purple.","Default Category/Clothing/Bottoms","Yoga Leggings - Large Purple","High-quality yoga leggings - Large Purple","leggings;yoga;large;purple",yoga-leggings-large-purple-003,1,1,30,1,1,Large,Purple,SPORT-LEGGINGS-003,en
SPORT-SHOES-002-SMALL-BLACK,Training Sneakers - Small Black,Default,simple,99.99,0.7,1,1,"Versatile training sneakers with responsive cushioning and breathable upper. Size Small in Black.","Training sneakers - Small Black.","Default Category/Clothing/Shoes","Training Sneakers - Small Black","Versatile training sneakers - Small Black","training;sneakers;small;black",training-sneakers-small-black-002,1,1,20,1,1,Small,Black,SPORT-SHOES-002,en
SPORT-SHOES-002-MEDIUM-BLACK,Training Sneakers - Medium Black,Default,simple,99.99,0.7,1,1,"Versatile training sneakers with responsive cushioning and breathable upper. Size Medium in Black.","Training sneakers - Medium Black.","Default Category/Clothing/Shoes","Training Sneakers - Medium Black","Versatile training sneakers - Medium Black","training;sneakers;medium;black",training-sneakers-medium-black-002,1,1,25,1,1,Medium,Black,SPORT-SHOES-002,en
SPORT-SHOES-002-LARGE-BLACK,Training Sneakers - Large Black,Default,simple,99.99,0.7,1,1,"Versatile training sneakers with responsive cushioning and breathable upper. Size Large in Black.","Training sneakers - Large Black.","Default Category/Clothing/Shoes","Training Sneakers - Large Black","Versatile training sneakers - Large Black","training;sneakers;large;black",training-sneakers-large-black-002,1,1,18,1,1,Large,Black,SPORT-SHOES-002,en
SPORT-SHOES-002-SMALL-WHITE,Training Sneakers - Small White,Default,simple,99.99,0.7,1,1,"Versatile training sneakers with responsive cushioning and breathable upper. Size Small in White.","Training sneakers - Small White.","Default Category/Clothing/Shoes","Training Sneakers - Small White","Versatile training sneakers - Small White","training;sneakers;small;white",training-sneakers-small-white-002,1,1,20,1,1,Small,White,SPORT-SHOES-002,en
SPORT-SHOES-002-MEDIUM-WHITE,Training Sneakers - Medium White,Default,simple,99.99,0.7,1,1,"Versatile training sneakers with responsive cushioning and breathable upper. Size Medium in White.","Training sneakers - Medium White.","Default Category/Clothing/Shoes","Training Sneakers - Medium White","Versatile training sneakers - Medium White","training;sneakers;medium;white",training-sneakers-medium-white-002,1,1,25,1,1,Medium,White,SPORT-SHOES-002,en
SPORT-SHOES-002-LARGE-WHITE,Training Sneakers - Large White,Default,simple,99.99,0.7,1,1,"Versatile training sneakers with responsive cushioning and breathable upper. Size Large in White.","Training sneakers - Large White.","Default Category/Clothing/Shoes","Training Sneakers - Large White","Versatile training sneakers - Large White","training;sneakers;large;white",training-sneakers-large-white-002,1,1,18,1,1,Large,White,SPORT-SHOES-002,en
SPORT-SHOES-003-SMALL-BLACK,Basketball Shoes - Small Black,Default,simple,119.99,0.9,1,1,"High-performance basketball shoes with ankle support and superior traction. Size Small in Black.","Basketball shoes - Small Black.","Default Category/Clothing/Shoes","Basketball Shoes - Small Black","High-performance basketball shoes - Small Black","basketball;shoes;small;black",basketball-shoes-small-black-003,1,1,15,1,1,Small,Black,SPORT-SHOES-003,en
SPORT-SHOES-003-MEDIUM-BLACK,Basketball Shoes - Medium Black,Default,simple,119.99,0.9,1,1,"High-performance basketball shoes with ankle support and superior traction. Size Medium in Black.","Basketball shoes - Medium Black.","Default Category/Clothing/Shoes","Basketball Shoes - Medium Black","High-performance basketball shoes - Medium Black","basketball;shoes;medium;black",basketball-shoes-medium-black-003,1,1,20,1,1,Medium,Black,SPORT-SHOES-003,en
SPORT-SHOES-003-LARGE-BLACK,Basketball Shoes - Large Black,Default,simple,119.99,0.9,1,1,"High-performance basketball shoes with ankle support and superior traction. Size Large in Black.","Basketball shoes - Large Black.","Default Category/Clothing/Shoes","Basketball Shoes - Large Black","High-performance basketball shoes - Large Black","basketball;shoes;large;black",basketball-shoes-large-black-003,1,1,18,1,1,Large,Black,SPORT-SHOES-003,en
SPORT-SHOES-003-SMALL-WHITE,Basketball Shoes - Small White,Default,simple,119.99,0.9,1,1,"High-performance basketball shoes with ankle support and superior traction. Size Small in White.","Basketball shoes - Small White.","Default Category/Clothing/Shoes","Basketball Shoes - Small White","High-performance basketball shoes - Small White","basketball;shoes;small;white",basketball-shoes-small-white-003,1,1,15,1,1,Small,White,SPORT-SHOES-003,en
SPORT-SHOES-003-MEDIUM-WHITE,Basketball Shoes - Medium White,Default,simple,119.99,0.9,1,1,"High-performance basketball shoes with ankle support and superior traction. Size Medium in White.","Basketball shoes - Medium White.","Default Category/Clothing/Shoes","Basketball Shoes - Medium White","High-performance basketball shoes - Medium White","basketball;shoes;medium;white",basketball-shoes-medium-white-003,1,1,20,1,1,Medium,White,SPORT-SHOES-003,en
SPORT-SHOES-003-LARGE-WHITE,Basketball Shoes - Large White,Default,simple,119.99,0.9,1,1,"High-performance basketball shoes with ankle support and superior traction. Size Large in White.","Basketball shoes - Large White.","Default Category/Clothing/Shoes","Basketball Shoes - Large White","High-performance basketball shoes - Large White","basketball;shoes;large;white",basketball-shoes-large-white-003,1,1,18,1,1,Large,White,SPORT-SHOES-003,en
SPORT-SHOES-004-SMALL-BLACK,Cross-Training Shoes - Small Black,Default,simple,109.99,0.8,1,1,"Cross-training shoes with stability and flexibility for various workouts. Size Small in Black.","Cross-training shoes - Small Black.","Default Category/Clothing/Shoes","Cross-Training Shoes - Small Black","Cross-training shoes - Small Black","cross-training;shoes;small;black",cross-training-shoes-small-black-004,1,1,22,1,1,Small,Black,SPORT-SHOES-004,en
SPORT-SHOES-004-MEDIUM-BLACK,Cross-Training Shoes - Medium Black,Default,simple,109.99,0.8,1,1,"Cross-training shoes with stability and flexibility for various workouts. Size Medium in Black.","Cross-training shoes - Medium Black.","Default Category/Clothing/Shoes","Cross-Training Shoes - Medium Black","Cross-training shoes - Medium Black","cross-training;shoes;medium;black",cross-training-shoes-medium-black-004,1,1,28,1,1,Medium,Black,SPORT-SHOES-004,en
SPORT-SHOES-004-LARGE-BLACK,Cross-Training Shoes - Large Black,Default,simple,109.99,0.8,1,1,"Cross-training shoes with stability and flexibility for various workouts. Size Large in Black.","Cross-training shoes - Large Black.","Default Category/Clothing/Shoes","Cross-Training Shoes - Large Black","Cross-training shoes - Large Black","cross-training;shoes;large;black",cross-training-shoes-large-black-004,1,1,25,1,1,Large,Black,SPORT-SHOES-004,en
SPORT-SHOES-004-SMALL-WHITE,Cross-Training Shoes - Small White,Default,simple,109.99,0.8,1,1,"Cross-training shoes with stability and flexibility for various workouts. Size Small in White.","Cross-training shoes - Small White.","Default Category/Clothing/Shoes","Cross-Training Shoes - Small White","Cross-training shoes - Small White","cross-training;shoes;small;white",cross-training-shoes-small-white-004,1,1,22,1,1,Small,White,SPORT-SHOES-004,en
SPORT-SHOES-004-MEDIUM-WHITE,Cross-Training Shoes - Medium White,Default,simple,109.99,0.8,1,1,"Cross-training shoes with stability and flexibility for various workouts. Size Medium in White.","Cross-training shoes - Medium White.","Default Category/Clothing/Shoes","Cross-Training Shoes - Medium White","Cross-training shoes - Medium White","cross-training;shoes;medium;white",cross-training-shoes-medium-white-004,1,1,28,1,1,Medium,White,SPORT-SHOES-004,en
SPORT-SHOES-004-LARGE-WHITE,Cross-Training Shoes - Large White,Default,simple,109.99,0.8,1,1,"Cross-training shoes with stability and flexibility for various workouts. Size Large in White.","Cross-training shoes - Large White.","Default Category/Clothing/Shoes","Cross-Training Shoes - Large White","Cross-training shoes - Large White","cross-training;shoes;large;white",cross-training-shoes-large-white-004,1,1,25,1,1,Large,White,SPORT-SHOES-004,en
SPORT-JACKET-006-SMALL-BLACK,Performance Hoodie - Small Black,Default,simple,79.99,0.6,1,1,"Performance hoodie with moisture-wicking fabric and adjustable hood. Size Small in Black.","Performance hoodie - Small Black.","Default Category/Clothing/Outerwear","Performance Hoodie - Small Black","Performance hoodie - Small Black","performance;hoodie;small;black",performance-hoodie-small-black-006,1,1,16,1,1,Small,Black,SPORT-JACKET-006,en
SPORT-JACKET-006-MEDIUM-BLACK,Performance Hoodie - Medium Black,Default,simple,79.99,0.6,1,1,"Performance hoodie with moisture-wicking fabric and adjustable hood. Size Medium in Black.","Performance hoodie - Medium Black.","Default Category/Clothing/Outerwear","Performance Hoodie - Medium Black","Performance hoodie - Medium Black","performance;hoodie;medium;black",performance-hoodie-medium-black-006,1,1,20,1,1,Medium,Black,SPORT-JACKET-006,en
SPORT-JACKET-006-LARGE-BLACK,Performance Hoodie - Large Black,Default,simple,79.99,0.6,1,1,"Performance hoodie with moisture-wicking fabric and adjustable hood. Size Large in Black.","Performance hoodie - Large Black.","Default Category/Clothing/Outerwear","Performance Hoodie - Large Black","Performance hoodie - Large Black","performance;hoodie;large;black",performance-hoodie-large-black-006,1,1,18,1,1,Large,Black,SPORT-JACKET-006,en
SPORT-JACKET-006-SMALL-GREY,Performance Hoodie - Small Grey,Default,simple,79.99,0.6,1,1,"Performance hoodie with moisture-wicking fabric and adjustable hood. Size Small in Grey.","Performance hoodie - Small Grey.","Default Category/Clothing/Outerwear","Performance Hoodie - Small Grey","Performance hoodie - Small Grey","performance;hoodie;small;grey",performance-hoodie-small-grey-006,1,1,16,1,1,Small,Grey,SPORT-JACKET-006,en
SPORT-JACKET-006-MEDIUM-GREY,Performance Hoodie - Medium Grey,Default,simple,79.99,0.6,1,1,"Performance hoodie with moisture-wicking fabric and adjustable hood. Size Medium in Grey.","Performance hoodie - Medium Grey.","Default Category/Clothing/Outerwear","Performance Hoodie - Medium Grey","Performance hoodie - Medium Grey","performance;hoodie;medium;grey",performance-hoodie-medium-grey-006,1,1,20,1,1,Medium,Grey,SPORT-JACKET-006,en
SPORT-JACKET-006-LARGE-GREY,Performance Hoodie - Large Grey,Default,simple,79.99,0.6,1,1,"Performance hoodie with moisture-wicking fabric and adjustable hood. Size Large in Grey.","Performance hoodie - Large Grey.","Default Category/Clothing/Outerwear","Performance Hoodie - Large Grey","Performance hoodie - Large Grey","performance;hoodie;large;grey",performance-hoodie-large-grey-006,1,1,18,1,1,Large,Grey,SPORT-JACKET-006,en
SPORT-JACKET-007-SMALL-BLACK,Training Sweatshirt - Small Black,Default,simple,59.99,0.5,1,1,"Training sweatshirt with comfortable fit and moisture-wicking technology. Size Small in Black.","Training sweatshirt - Small Black.","Default Category/Clothing/Tops","Training Sweatshirt - Small Black","Training sweatshirt - Small Black","training;sweatshirt;small;black",training-sweatshirt-small-black-007,1,1,19,1,1,Small,Black,SPORT-JACKET-007,en
SPORT-JACKET-007-MEDIUM-BLACK,Training Sweatshirt - Medium Black,Default,simple,59.99,0.5,1,1,"Training sweatshirt with comfortable fit and moisture-wicking technology. Size Medium in Black.","Training sweatshirt - Medium Black.","Default Category/Clothing/Tops","Training Sweatshirt - Medium Black","Training sweatshirt - Medium Black","training;sweatshirt;medium;black",training-sweatshirt-medium-black-007,1,1,24,1,1,Medium,Black,SPORT-JACKET-007,en
SPORT-JACKET-007-LARGE-BLACK,Training Sweatshirt - Large Black,Default,simple,59.99,0.5,1,1,"Training sweatshirt with comfortable fit and moisture-wicking technology. Size Large in Black.","Training sweatshirt - Large Black.","Default Category/Clothing/Tops","Training Sweatshirt - Large Black","Training sweatshirt - Large Black","training;sweatshirt;large;black",training-sweatshirt-large-black-007,1,1,22,1,1,Large,Black,SPORT-JACKET-007,en
SPORT-JACKET-007-SMALL-RED,Training Sweatshirt - Small Red,Default,simple,59.99,0.5,1,1,"Training sweatshirt with comfortable fit and moisture-wicking technology. Size Small in Red.","Training sweatshirt - Small Red.","Default Category/Clothing/Tops","Training Sweatshirt - Small Red","Training sweatshirt - Small Red","training;sweatshirt;small;red",training-sweatshirt-small-red-007,1,1,19,1,1,Small,Red,SPORT-JACKET-007,en
SPORT-JACKET-007-MEDIUM-RED,Training Sweatshirt - Medium Red,Default,simple,59.99,0.5,1,1,"Training sweatshirt with comfortable fit and moisture-wicking technology. Size Medium in Red.","Training sweatshirt - Medium Red.","Default Category/Clothing/Tops","Training Sweatshirt - Medium Red","Training sweatshirt - Medium Red","training;sweatshirt;medium;red",training-sweatshirt-medium-red-007,1,1,24,1,1,Medium,Red,SPORT-JACKET-007,en
SPORT-JACKET-007-LARGE-RED,Training Sweatshirt - Large Red,Default,simple,59.99,0.5,1,1,"Training sweatshirt with comfortable fit and moisture-wicking technology. Size Large in Red.","Training sweatshirt - Large Red.","Default Category/Clothing/Tops","Training Sweatshirt - Large Red","Training sweatshirt - Large Red","training;sweatshirt;large;red",training-sweatshirt-large-red-007,1,1,22,1,1,Large,Red,SPORT-JACKET-007,en
SPORT-PANTS-002-SMALL-BLACK,Training Joggers - Small Black,Default,simple,64.99,0.7,1,1,"Training joggers with elastic waistband and tapered fit. Size Small in Black.","Training joggers - Small Black.","Default Category/Clothing/Bottoms","Training Joggers - Small Black","Training joggers - Small Black","training;joggers;small;black",training-joggers-small-black-002,1,1,21,1,1,Small,Black,SPORT-PANTS-002,en
SPORT-PANTS-002-MEDIUM-BLACK,Training Joggers - Medium Black,Default,simple,64.99,0.7,1,1,"Training joggers with elastic waistband and tapered fit. Size Medium in Black.","Training joggers - Medium Black.","Default Category/Clothing/Bottoms","Training Joggers - Medium Black","Training joggers - Medium Black","training;joggers;medium;black",training-joggers-medium-black-002,1,1,26,1,1,Medium,Black,SPORT-PANTS-002,en
SPORT-PANTS-002-LARGE-BLACK,Training Joggers - Large Black,Default,simple,64.99,0.7,1,1,"Training joggers with elastic waistband and tapered fit. Size Large in Black.","Training joggers - Large Black.","Default Category/Clothing/Bottoms","Training Joggers - Large Black","Training joggers - Large Black","training;joggers;large;black",training-joggers-large-black-002,1,1,23,1,1,Large,Black,SPORT-PANTS-002,en
SPORT-PANTS-002-SMALL-NAVY,Training Joggers - Small Navy,Default,simple,64.99,0.7,1,1,"Training joggers with elastic waistband and tapered fit. Size Small in Navy.","Training joggers - Small Navy.","Default Category/Clothing/Bottoms","Training Joggers - Small Navy","Training joggers - Small Navy","training;joggers;small;navy",training-joggers-small-navy-002,1,1,21,1,1,Small,Navy,SPORT-PANTS-002,en
SPORT-PANTS-002-MEDIUM-NAVY,Training Joggers - Medium Navy,Default,simple,64.99,0.7,1,1,"Training joggers with elastic waistband and tapered fit. Size Medium in Navy.","Training joggers - Medium Navy.","Default Category/Clothing/Bottoms","Training Joggers - Medium Navy","Training joggers - Medium Navy","training;joggers;medium;navy",training-joggers-medium-navy-002,1,1,26,1,1,Medium,Navy,SPORT-PANTS-002,en
SPORT-PANTS-002-LARGE-NAVY,Training Joggers - Large Navy,Default,simple,64.99,0.7,1,1,"Training joggers with elastic waistband and tapered fit. Size Large in Navy.","Training joggers - Large Navy.","Default Category/Clothing/Bottoms","Training Joggers - Large Navy","Training joggers - Large Navy","training;joggers;large;navy",training-joggers-large-navy-002,1,1,23,1,1,Large,Navy,SPORT-PANTS-002,en
