sku,name,description,short_description,meta_title,meta_description,meta_keywords,categories,store_view_code
SPORT-TSHIRT-005,"T-shirt Performance Séchage Rapide","T-shirt performance séchage rapide avec technologie avancée de gestion de l'humidité.","T-shirt performance séchage rapide pour vêtements actifs.","T-shirt Performance Séchage Rapide","T-shirt performance séchage rapide avec gestion de l'humidité","séchage-rapide;performance;tshirt","Tops/T-Shirts",fr
SPORT-TSHIRT-006,"T-shirt Anti-Odeur d'Entraînement","T-shirt anti-odeur d'entraînement avec technologie d'ions d'argent pour prévenir la croissance bactérienne.","T-shirt anti-odeur d'entraînement avec technologie argent.","T-shirt Anti-Odeur d'Entraînement","T-shirt anti-odeur d'entraînement avec ions d'argent","anti-odeur;entraînement;argent","Tops/T-Shirts",fr
SPORT-SHORTS-003,"Short de Course Performance","Short de course performance avec doublure de compression intégrée et poches latérales.","Short de course performance avec doublure de compression.","Short de Course Performance","Short de course performance avec doublure de compression","performance;course;shorts","Bottoms/Shorts",fr
SPORT-SHORTS-004,"Short d'Entraînement Basketball","Short d'entraînement basketball avec panneaux latéraux en mesh et ceinture élastique.","Short d'entraînement basketball avec panneaux mesh.","Short d'Entraînement Basketball","Short d'entraînement basketball avec panneaux mesh","basketball;entraînement;shorts","Bottoms/Shorts",fr
SPORT-LEGGINGS-004,"Legging d'Entraînement Haute Taille","Legging d'entraînement haute taille avec technologie de compression et poches latérales.","Legging d'entraînement haute taille avec compression.","Legging d'Entraînement Haute Taille","Legging d'entraînement haute taille avec technologie de compression","haute-taille;entraînement;leggings","Bottoms/Leggings",fr
SPORT-LEGGINGS-005,"Legging Yoga Sans Couture","Legging yoga sans couture avec extensibilité quatre directions et ceinture confortable.","Legging yoga sans couture avec extensibilité quatre directions.","Legging Yoga Sans Couture","Legging yoga sans couture avec extensibilité quatre directions","sans-couture;yoga;leggings","Bottoms/Leggings",fr
SPORT-JACKET-004,"Veste d'Entraînement Imperméable","Veste d'entraînement imperméable avec membrane respirante et capuche ajustable.","Veste d'entraînement imperméable avec membrane respirante.","Veste d'Entraînement Imperméable","Veste d'entraînement imperméable avec membrane respirante","imperméable;entraînement;veste","Outerwear/Windbreakers",fr
SPORT-JACKET-005,"Veste de Course Légère","Veste de course légère avec tissu résistant au vent et détails réfléchissants.","Veste de course légère avec résistance au vent.","Veste de Course Légère","Veste de course légère avec tissu résistant au vent","légère;course;veste","Outerwear/Windbreakers",fr
SPORT-SPORTS-BRA-003,"Soutien-Gorge Sportif Faible Impact","Soutien-gorge sportif faible impact avec support confortable pour activités légères.","Soutien-gorge sportif faible impact pour activités légères.","Soutien-Gorge Sportif Faible Impact","Soutien-gorge sportif faible impact pour activités légères","faible-impact;sportif;soutien-gorge","Sports Bras",fr
SPORT-SPORTS-BRA-004,"Soutien-Gorge Sportif Sans Armature","Soutien-gorge sportif sans armature avec confort maximal et support pour toutes activités.","Soutien-gorge sportif sans armature avec confort maximal.","Soutien-Gorge Sportif Sans Armature","Soutien-gorge sportif sans armature avec confort maximal","sans-armature;sportif;soutien-gorge","Sports Bras",fr
SPORT-SOCKS-003,"Chaussettes Athlétiques Laine Mérinos","Chaussettes athlétiques laine mérinos avec résistance naturelle aux odeurs et régulation de température.","Chaussettes athlétiques laine mérinos avec résistance aux odeurs.","Chaussettes Athlétiques Laine Mérinos","Chaussettes athlétiques laine mérinos avec résistance naturelle aux odeurs","mérinos;laine;athlétiques","Socks",fr
SPORT-SOCKS-004,"Chaussettes de Course Compression","Chaussettes de course compression avec support de la voûte plantaire et technologie évacuant l'humidité.","Chaussettes de course compression avec support de la voûte.","Chaussettes de Course Compression","Chaussettes de course compression avec support de la voûte plantaire","compression;course;chaussettes","Socks",fr
SPORT-CAP-003,"Casquette Baseball Évacuant l'Humidité","Casquette baseball évacuant l'humidité avec fermeture ajustable et tissu respirant.","Casquette baseball évacuant l'humidité avec tissu respirant.","Casquette Baseball Évacuant l'Humidité","Casquette baseball évacuant l'humidité avec tissu respirant","évacuant-humidité;baseball;casquette","Caps",fr
SPORT-CAP-004,"Casquette Trucker Performance","Casquette trucker performance avec dos en mesh et panneau avant évacuant l'humidité.","Casquette trucker performance avec dos en mesh.","Casquette Trucker Performance","Casquette trucker performance avec dos en mesh","performance;trucker;casquette","Caps",fr
SPORT-GLOVES-003,"Gants de Cyclisme","Gants de cyclisme avec rembourrage en gel et mesh respirant pour longues sorties.","Gants de cyclisme avec rembourrage en gel.","Gants de Cyclisme","Gants de cyclisme avec rembourrage en gel et mesh respirant","cyclisme;gants;gel","Gloves",fr
SPORT-GLOVES-004,"Gants CrossFit","Gants CrossFit avec paumes renforcées et support du poignet pour levée lourde.","Gants CrossFit avec paumes renforcées.","Gants CrossFit","Gants CrossFit avec paumes renforcées et support du poignet","crossfit;gants;renforcé","Gloves",fr
SPORT-HEADBAND-003,"Bandeau Sportif Élastique","Bandeau sportif élastique avec tissu évacuant l'humidité et ajustement sécurisé.","Bandeau sportif élastique avec tissu évacuant l'humidité.","Bandeau Sportif Élastique","Bandeau sportif élastique avec tissu évacuant l'humidité","élastique;sportif;bandeau","Headbands",fr
SPORT-HEADBAND-004,"Bandeau Compression","Bandeau compression pour ajustement sécurisé et gestion de la transpiration pendant entraînements intenses.","Bandeau compression pour ajustement sécurisé.","Bandeau Compression","Bandeau compression pour ajustement sécurisé","compression;bandeau;sécurisé","Headbands",fr
SPORT-WRISTBAND-001,"Bracelet Évacuant l'Humidité","Bracelet évacuant l'humidité avec ajustement élastique et technologie d'absorption de la transpiration.","Bracelet évacuant l'humidité avec ajustement élastique.","Bracelet Évacuant l'Humidité","Bracelet évacuant l'humidité avec ajustement élastique","bracelet;évacuant-humidité;élastique","Accessories",fr
SPORT-WRISTBAND-002,"Bracelet Compression","Bracelet compression pour support des articulations et amélioration de la circulation pendant entraînements.","Bracelet compression pour support des articulations.","Bracelet Compression","Bracelet compression pour support des articulations","compression;bracelet;articulations","Accessories",fr
SPORT-SHOES-002,"Baskets d'Entraînement","Baskets d'entraînement polyvalentes avec amorti réactif et tige respirante. Disponibles en plusieurs tailles et couleurs.","Baskets d'entraînement avec amorti réactif.","Baskets d'Entraînement","Baskets d'entraînement polyvalentes avec amorti réactif","entraînement;baskets;réactif","Training Shoes",fr
SPORT-SHOES-003,"Chaussures de Basketball","Chaussures de basketball haute performance avec support de cheville et traction supérieure. Disponibles en plusieurs tailles et couleurs.","Chaussures de basketball avec support de cheville.","Chaussures de Basketball","Chaussures de basketball haute performance avec support de cheville","basketball;chaussures;cheville","Basketball Shoes",fr
SPORT-SHOES-004,"Chaussures Cross-Training","Chaussures cross-training avec stabilité et flexibilité pour divers entraînements. Disponibles en plusieurs tailles et couleurs.","Chaussures cross-training avec stabilité.","Chaussures Cross-Training","Chaussures cross-training avec stabilité et flexibilité","cross-training;chaussures;stabilité","Cross-Training Shoes",fr
SPORT-JACKET-006,"Sweat à Capuche Performance","Sweat à capuche performance avec tissu évacuant l'humidité et capuche ajustable. Disponible en plusieurs tailles et couleurs.","Sweat à capuche performance avec tissu évacuant l'humidité.","Sweat à Capuche Performance","Sweat à capuche performance avec tissu évacuant l'humidité","performance;sweat;capuche","Hoodies",fr
SPORT-JACKET-007,"Sweat d'Entraînement","Sweat d'entraînement avec coupe confortable et technologie évacuant l'humidité. Disponible en plusieurs tailles et couleurs.","Sweat d'entraînement avec coupe confortable.","Sweat d'Entraînement","Sweat d'entraînement avec coupe confortable","entraînement;sweat;confortable","Sweatshirts",fr
SPORT-PANTS-002,"Joggers d'Entraînement","Joggers d'entraînement avec ceinture élastique et coupe fuselée. Disponibles en plusieurs tailles et couleurs.","Joggers d'entraînement avec ceinture élastique.","Joggers d'Entraînement","Joggers d'entraînement avec ceinture élastique","entraînement;joggers;élastique","Joggers",fr
SPORT-PANTS-003,"Short Performance","Short performance avec doublure de compression et poches latérales. Disponibles en plusieurs tailles et couleurs.","Short performance avec doublure de compression.","Short Performance","Short performance avec doublure de compression","performance;short;compression","Shorts",fr
SPORT-LEGGINGS-006,"Legging d'Entraînement","Legging d'entraînement avec technologie de compression et poches latérales. Disponibles en plusieurs tailles et couleurs.","Legging d'entraînement avec technologie de compression.","Legging d'Entraînement","Legging d'entraînement avec technologie de compression","entraînement;legging;compression","Leggings",fr
SPORT-LEGGINGS-007,"Legging Haute Taille","Legging haute taille avec extensibilité quatre directions et ceinture confortable. Disponibles en plusieurs tailles et couleurs.","Legging haute taille avec extensibilité quatre directions.","Legging Haute Taille","Legging haute taille avec extensibilité quatre directions","haute-taille;legging;extensibilité","Leggings",fr
